event_num,timestamp
2,02:00:02
2,02:00:30
2,02:00:51
2,02:01:01
2,02:01:01
2,02:01:01
2,02:01:54
2,02:01:59
2,02:01:59
2,02:02:13
4,06:00:02
4,06:00:12
4,06:00:33
4,06:00:42
4,06:00:42
4,06:00:42
4,06:01:09
4,06:01:09
4,06:01:39
4,06:01:42
4,06:01:42
4,06:01:42
4,06:01:59
6,10:00:02
6,10:00:24
6,10:00:48
6,10:00:55
6,10:00:56
6,10:01:33
6,10:03:07
6,10:03:18
6,10:03:20
6,10:03:20
8,14:00:02
8,14:00:03
8,14:00:31
8,14:00:32
8,14:00:32
8,14:00:32
8,14:01:16
8,14:01:16
8,14:01:49
8,14:01:49
8,14:01:49
8,14:02:04
10,18:00:02
10,18:00:15
10,18:00:45
10,18:00:45
10,18:00:45
10,18:01:00
10,18:01:31
10,18:01:31
10,18:01:54
12,22:00:02
12,22:00:02
12,22:00:23
12,22:00:23
12,22:00:28
12,22:00:28
12,22:00:54
12,22:00:54
12,22:00:54
12,22:00:54
12,22:00:54
12,22:00:54
12,22:01:09
12,22:01:09
12,22:01:09
12,22:01:09
12,22:01:42
12,22:01:42
12,22:01:44
12,22:01:44
12,22:01:44
12,22:01:44
12,22:02:12
12,22:02:12
