event_num,timestamp
1,00:00:02
1,00:00:51
2,02:00:03
2,02:00:03
2,02:00:04
2,02:00:04
2,02:00:05
2,02:00:17
2,02:00:23
2,02:00:27
2,02:00:27
2,02:00:37
2,02:00:52
2,02:00:52
2,02:00:52
2,02:00:52
2,02:00:52
2,02:00:53
2,02:00:53
2,02:00:53
2,02:00:53
2,02:00:53
2,02:01:05
2,02:01:06
2,02:01:08
2,02:01:09
2,02:01:09
2,02:01:10
2,02:01:39
2,02:01:40
2,02:01:41
2,02:01:42
2,02:01:43
2,02:01:44
2,02:01:55
2,02:01:55
3,04:00:02
3,04:00:02
3,04:00:51
3,04:00:51
4,06:00:04
4,06:00:06
4,06:00:07
4,06:00:20
4,06:00:25
4,06:00:26
4,06:00:30
4,06:00:30
4,06:00:32
4,06:00:33
4,06:00:44
4,06:00:52
4,06:00:52
4,06:00:52
4,06:00:53
4,06:00:53
4,06:00:53
4,06:00:53
4,06:00:53
4,06:00:53
4,06:00:53
4,06:00:54
4,06:00:54
4,06:00:55
4,06:01:12
4,06:01:13
5,08:00:02
5,08:00:02
5,08:00:52
5,08:00:52
6,10:00:03
6,10:00:04
6,10:00:04
6,10:00:29
6,10:00:52
6,10:00:52
6,10:00:52
6,10:00:53
6,10:01:26
6,10:01:27
6,10:01:27
6,10:01:28
6,10:01:43
6,10:01:44
6,10:01:53
6,10:01:54
7,12:00:02
7,12:00:52
8,14:00:03
8,14:00:03
8,14:00:04
8,14:00:05
8,14:00:31
8,14:00:31
8,14:00:50
8,14:00:50
8,14:00:52
8,14:00:52
8,14:00:52
8,14:00:52
8,14:01:08
8,14:01:09
9,16:00:02
9,16:00:02
9,16:00:52
9,16:00:52
10,18:00:04
10,18:00:05
10,18:00:06
10,18:00:42
10,18:00:43
10,18:00:51
10,18:00:51
10,18:00:51
10,18:00:52
10,18:00:52
10,18:01:12
10,18:01:13
10,18:01:13
10,18:01:14
10,18:01:29
10,18:01:29
10,18:01:29
10,18:01:30
11,20:00:02
11,20:00:52
12,22:00:03
12,22:00:03
12,22:00:05
12,22:00:05
12,22:00:06
12,22:00:06
12,22:00:29
12,22:00:29
12,22:00:31
12,22:00:31
12,22:00:32
12,22:00:32
12,22:00:38
12,22:00:38
12,22:00:39
12,22:00:39
12,22:00:41
12,22:00:41
12,22:00:53
12,22:00:53
12,22:01:02
12,22:01:02
12,22:01:02
12,22:01:02
12,22:01:03
12,22:01:03
12,22:01:04
12,22:01:04
12,22:01:04
12,22:01:04
12,22:01:19
12,22:01:19
12,22:01:25
12,22:01:25
12,22:01:55
12,22:01:55
12,22:01:59
12,22:01:59
