edit_distance, repeated_paths, tshort, tlong, active_sessions, withdrawals, announcements, proportion, conv_time
13,6,2,1,167,0,24,0,223
228,26,9,32,171,27,101,26,227
10,3,1,0,167,0,22,0,154
313,56,10,42,171,27,149,18,340
6,5,0,0,140,1,20,5,56
95,27,4,15,171,23,82,28,246
7,4,2,0,167,1,22,4,64
98,28,5,18,171,23,83,27,442
12,3,1,1,137,1,17,5,236
285,34,18,34,172,33,140,23,472
4,6,0,0,138,0,19,0,100
116,22,4,21,105,23,79,29,401
