edit_distance, repeated_paths, tshort, tlong, active_sessions, withdrawals, announcements, proportion, conv_time
8,4,3,0,17,1,23,4,2985
122,41,6,22,19,26,94,27,690
62,5,12,2,17,2,25,8,6103
179,21,8,25,19,25,94,26,3510
49,4,11,0,16,0,19,0,279
155,18,6,22,19,27,83,32,670
60,6,13,1,17,5,25,20,6401
166,29,7,22,19,25,99,25,664
42,2,8,2,13,9,17,52,7072
157,17,10,25,19,26,78,33,675
56,4,15,0,17,10,22,45,6212
215,28,11,32,19,24,112,21,680
