timestamp, num_announcements, num_withdrawals, duplicated_announc, longest_announc, shortest_announc, avg_announc, prepended_ases, tlongs, tshorts, avg_edit, maximum_edit, num_edits, announc_peer1, announc_peer2, announc_peer3
23:55:00,20,0,7,5,2,3,3,1,0,0.454545454545,2,4,0,0,1
23:55:01,16,0,6,9,2,4,24,0,1,0.555555555556,3,3,0,2,6
23:55:02,8,0,2,5,2,3,0,2,3,2.16666666667,3,5,0,1,0
23:55:03,10,0,4,9,3,5,7,0,0,0.0,0,0,0,0,0
23:55:04,10,1,3,5,2,3,0,3,2,1.57142857143,3,5,0,1,0
23:55:05,9,3,0,9,3,5,5,0,0,0.0,0,0,1,1,1
23:55:06,7,1,1,5,3,4,1,1,0,1.25,2,3,0,2,1
23:55:07,1,0,0,5,5,5,0,0,0,0.0,0,0,0,1,0
23:55:08,13,0,10,5,2,3,0,0,0,0.0,0,0,0,0,11
23:55:09,12,1,4,5,2,3,0,0,0,0.333333333333,1,2,0,2,1
23:55:10,20,1,10,6,2,4,2,0,1,0.333333333333,3,2,0,2,11
23:55:11,8,0,0,11,3,6,10,0,1,3.0,9,4,0,2,1
23:55:12,15,0,12,6,5,5,0,0,0,0.0,0,0,0,14,0
23:55:13,14,0,11,6,5,5,0,0,0,0.0833333333333,1,1,0,13,0
23:55:14,13,0,10,5,3,4,0,0,0,0.0,0,0,0,0,11
23:55:15,24,0,18,9,4,5,12,0,0,0.0,0,0,11,0,9
23:55:16,3,0,0,7,4,5,1,0,0,0.0,0,0,0,1,0
23:55:17,13,0,7,6,5,5,0,1,0,0.6,4,3,2,6,2
23:55:18,4,0,2,6,4,5,0,0,0,0.0,0,0,0,0,0
23:55:19,23,2,11,12,5,6,5,0,0,0.714285714286,3,4,0,17,0
23:55:20,1,0,0,3,3,3,0,0,0,0.0,0,0,0,0,0
23:55:21,12,0,1,5,2,3,0,2,1,1.8,3,4,0,3,0
23:55:22,20,1,13,5,3,4,0,0,0,0.0,0,0,1,13,1
23:55:23,17,0,9,5,4,4,0,0,0,0.272727272727,1,3,0,2,2
23:55:24,12,0,3,6,4,5,0,0,0,0.833333333333,3,3,0,5,1
23:55:25,15,0,5,7,2,4,1,3,0,1.125,5,3,0,2,0
23:55:26,10,1,1,5,2,3,0,2,0,1.66666666667,3,5,0,2,0
23:55:27,27,0,17,7,2,4,7,2,1,0.380952380952,3,4,2,3,0
23:55:28,8,1,1,5,3,3,0,2,2,1.83333333333,3,5,0,2,0
23:55:29,5,0,2,7,2,4,2,0,1,0.666666666667,2,1,0,4,0
23:55:30,8,0,2,8,5,6,7,0,0,0.0,0,0,0,0,0
23:55:31,6,0,1,9,4,6,3,0,0,0.5,1,1,0,1,1
23:55:32,8,1,0,7,3,5,3,1,1,3.0,5,3,2,0,1
23:55:33,1,0,0,6,6,6,0,0,0,0.0,0,0,0,0,1
23:55:34,3,0,0,5,5,5,0,0,0,2.0,2,1,0,1,0
23:55:35,30,0,20,12,4,5,5,0,0,0.0,0,0,27,0,0
23:55:36,4,3,0,5,3,3,0,0,1,2.0,2,1,0,0,0
23:55:37,7,1,2,4,2,3,0,1,1,1.0,2,3,0,0,0
23:55:38,29,0,22,6,3,4,0,1,2,0.384615384615,3,5,0,4,1
23:55:39,21,0,15,6,5,5,1,1,0,0.388888888889,3,4,0,7,2
23:55:40,24,0,15,7,2,3,4,3,0,0.315789473684,2,4,0,13,0
23:55:41,10,1,3,8,2,4,4,1,0,0.5,2,1,0,1,0
23:55:42,12,0,2,5,2,3,0,2,1,1.16666666667,3,4,0,1,0
23:55:43,37,1,23,9,2,4,12,2,1,0.307692307692,3,4,4,25,1
23:55:44,16,0,3,7,4,5,0,0,1,1.0,3,2,0,8,1
23:55:45,6,0,0,11,2,4,5,1,0,2.0,2,1,0,0,1
23:55:46,8,1,0,7,3,4,0,2,1,2.4,3,5,0,2,0
23:55:47,4,0,0,6,2,4,0,0,0,0.0,0,0,0,0,0
23:55:48,33,1,22,7,2,4,1,2,2,0.428571428571,5,7,0,11,0
23:55:49,34,0,13,9,2,5,6,2,0,0.7,3,7,0,23,1
23:55:50,4,1,0,7,4,5,0,0,1,2.5,4,2,0,1,0
23:55:51,12,0,5,7,5,6,2,0,0,0.0,0,0,0,11,0
23:55:52,22,0,12,11,3,5,10,0,0,0.142857142857,1,2,0,16,0
23:55:53,27,0,15,7,3,5,1,0,1,0.235294117647,3,2,10,1,3
23:55:54,14,0,5,6,3,4,1,0,1,0.857142857143,4,2,1,2,0
23:55:55,6,0,1,4,3,3,0,0,0,0.0,0,0,1,0,0
23:55:56,4,1,1,5,4,4,0,0,0,0.0,0,0,0,2,0
23:55:57,12,1,2,7,2,4,1,1,1,1.0,2,3,0,4,0
23:55:58,16,8,10,5,3,4,0,1,0,0.384615384615,3,3,0,0,0
23:55:59,20,12,12,16,2,5,61,0,0,0.0,0,0,0,8,0
23:56:00,13,0,9,5,4,4,0,0,0,0.1,1,1,0,1,0
23:56:01,10,0,5,5,2,4,0,0,0,0.0,0,0,0,2,0
23:56:02,2,0,0,5,5,5,0,0,0,0.0,0,0,0,1,0
23:56:03,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0
23:56:04,7,0,0,4,2,3,0,0,3,1.0,1,3,0,0,0
23:56:05,15,0,6,9,2,4,17,1,3,0.8,3,5,0,1,0
23:56:06,49,8,29,8,2,5,21,2,3,0.4,3,8,7,5,4
23:56:07,8,1,2,5,3,4,1,0,0,0.75,2,2,0,0,1
23:56:08,22,1,4,7,2,5,2,2,1,1.61538461538,4,10,1,10,1
23:56:09,16,0,13,5,3,3,0,0,0,0.0,0,0,0,2,0
23:56:10,14,0,3,6,2,4,3,2,1,1.0,2,4,0,5,0
23:56:11,18,0,1,6,3,4,2,3,2,2.0,4,10,0,4,1
23:56:12,6,1,2,5,4,4,1,0,0,0.333333333333,1,1,0,2,1
23:56:13,20,0,10,7,3,5,3,1,0,0.5,5,2,0,14,2
23:56:14,20,0,10,8,3,4,3,1,2,0.615384615385,5,3,0,16,0
23:56:15,3,1,0,5,2,3,0,0,1,1.0,1,1,0,0,1
23:56:16,9,0,1,5,3,4,0,0,0,1.0,2,2,0,4,1
23:56:17,8,0,3,8,4,5,3,1,0,1.0,4,1,3,1,2
23:56:18,94,0,59,9,4,5,18,3,2,0.315068493151,3,14,0,73,15
23:56:19,424,2,347,8,4,5,30,4,5,0.168,3,42,0,263,151
23:56:20,29,1,20,6,4,5,0,0,0,0.0,0,0,0,1,21
23:56:21,8,0,1,7,2,4,0,1,1,1.0,1,2,0,0,0
23:56:22,47,0,29,7,3,4,1,5,1,0.542857142857,4,7,10,6,10
23:56:23,155,3,134,9,4,6,3,2,1,0.107913669065,5,5,0,64,67
23:56:24,23,0,12,9,4,5,1,0,0,0.214285714286,2,2,0,13,1
23:56:25,20,0,8,8,2,4,0,1,0,0.222222222222,2,1,0,2,0
23:56:26,29,0,10,10,2,4,27,2,3,1.14285714286,3,12,9,5,0
23:56:27,2,0,0,5,3,4,1,0,0,0.0,0,0,1,0,0
23:56:28,254,12,213,8,2,4,15,3,12,0.231111111111,6,15,0,0,71
23:56:29,143,0,91,8,3,4,22,4,7,0.388349514563,6,12,3,0,24
23:56:30,33,0,21,6,3,4,0,2,0,0.384615384615,3,5,0,24,0
23:56:31,15,29,8,8,2,5,2,0,0,0.0,0,0,11,1,0
23:56:32,1,0,0,8,8,8,2,0,0,0.0,0,0,0,1,0
23:56:33,35,0,19,9,4,6,1,2,1,0.272727272727,2,4,0,3,0
23:56:34,23,41,13,7,5,6,0,0,0,0.0,0,0,12,0,0
23:56:35,1,0,0,7,7,7,2,0,0,0.0,0,0,0,0,1
23:56:36,4,0,2,10,4,7,5,0,0,0.0,0,0,0,4,0
23:56:37,9,0,2,13,2,5,24,1,0,0.666666666667,2,1,1,0,0
23:56:38,15,1,6,13,3,5,18,2,0,0.888888888889,3,3,0,5,3
23:56:39,41,0,26,7,4,4,2,2,1,0.375,3,6,1,12,1
23:56:40,7,0,4,6,5,5,0,0,0,0.0,0,0,0,7,0
23:56:41,54,0,40,8,2,4,8,3,1,0.255319148936,4,7,0,18,1
23:56:42,49,0,41,5,3,4,2,0,0,0.0238095238095,1,1,0,13,14
23:56:43,7,0,1,5,2,4,1,0,1,0.5,1,1,0,3,1
23:56:44,3,1,0,5,4,4,0,0,1,3.0,3,1,0,0,1
23:56:45,21,0,17,5,3,4,5,0,0,0.0,0,0,0,0,13
23:56:46,1,0,0,4,4,4,0,0,0,0.0,0,0,0,1,0
23:56:47,14,0,5,6,3,4,0,3,0,0.777777777778,4,4,0,7,0
23:56:48,2,0,0,5,3,4,0,0,0,0.0,0,0,0,1,0
23:56:49,18,0,3,7,2,4,2,1,2,1.0,3,3,2,5,1
23:56:50,11,0,5,6,3,4,1,0,0,0.333333333333,1,2,0,1,2
23:56:51,16,1,4,7,2,4,2,2,2,1.3,3,6,0,7,0
23:56:52,40,0,31,8,4,5,2,0,2,0.272727272727,5,2,1,6,32
23:56:53,23,1,7,6,3,4,0,2,2,1.13333333333,3,8,0,5,3
23:56:54,4,0,0,5,3,4,1,0,0,0.0,0,0,1,2,0
23:56:55,2,0,1,4,4,4,0,0,0,0.0,0,0,0,0,0
23:56:56,12,0,7,7,5,6,0,0,0,0.0,0,0,0,12,0
23:56:57,37,0,29,7,4,5,6,1,0,0.161290322581,4,2,0,2,33
23:56:58,9,2,2,5,2,4,0,1,0,0.8,2,3,0,2,3
23:56:59,14,1,3,6,2,4,0,3,2,1.85714285714,3,6,0,5,0
23:57:00,13,0,3,10,4,6,9,0,0,0.25,1,1,1,4,0
23:57:01,11,0,3,10,2,6,11,1,0,1.0,4,3,3,1,0
23:57:02,5,0,0,9,4,6,4,0,0,0.0,0,0,0,3,0
23:57:03,1,0,0,4,4,4,0,0,0,0.0,0,0,0,1,0
23:57:04,18,0,6,10,4,6,7,0,1,0.285714285714,2,1,13,3,0
23:57:05,9,0,3,5,2,3,0,1,0,0.5,2,1,0,4,0
23:57:06,22,0,11,11,4,5,5,0,0,0.0833333333333,1,1,0,21,1
23:57:07,12,1,1,11,2,5,10,0,2,1.5,3,3,0,2,3
23:57:08,13,0,1,6,2,4,0,2,1,1.875,3,7,0,3,1
23:57:09,6,1,0,6,2,3,0,0,2,1.5,2,2,0,0,0
23:57:10,39,0,31,6,2,4,2,1,2,0.205882352941,3,5,0,5,28
