edit_distance, repeated_paths, tshort, tlong, active_sessions, withdrawals, announcements, proportion, conv_time
13,6,3,1,16,0,26,0,141
135,29,4,25,21,28,88,31,672
50,7,11,0,16,0,24,0,53
179,25,8,35,21,28,90,31,678
70,6,15,1,16,0,26,0,257
261,16,11,43,21,30,103,29,679
97,5,20,2,16,1,29,3,599
280,33,11,43,21,29,123,23,689
63,5,14,0,14,0,20,0,112
194,27,10,34,21,26,90,28,668
64,3,14,0,15,0,22,0,258
262,29,14,43,21,29,119,24,679
