edit_distance, repeated_paths, tshort, tlong, active_sessions, withdrawals, announcements, proportion, conv_time
12,4,3,1,16,0,24,0,190
219,26,6,38,21,29,106,27,1489
69,6,16,0,16,0,24,0,156
217,38,10,43,21,29,115,25,691
74,8,19,0,16,0,27,0,74
209,20,12,31,21,29,96,30,667
79,7,16,2,16,0,30,0,180
168,28,8,35,21,27,85,31,689
91,2,18,3,16,0,26,0,159
313,30,19,52,21,31,127,24,838
91,4,17,0,16,0,24,0,178
166,26,10,26,21,28,86,32,694
