edit_distance, repeated_paths, tshort, tlong, active_sessions, withdrawals, announcements, proportion, conv_time
12,3,1,0,15,0,22,0,59
228,27,2,34,19,24,107,22,178
74,3,15,0,15,0,21,0,68
185,31,13,25,19,26,94,27,191
53,3,12,0,15,0,20,0,48
185,35,12,30,19,23,95,24,156
78,7,13,1,15,0,26,0,1067
252,23,11,36,19,27,102,26,140
47,4,9,0,12,0,18,0,61
293,22,11,37,19,28,110,25,208
49,3,9,0,12,0,16,0,70
193,24,11,28,19,24,89,26,181
