edit_distance, repeated_paths, tshort, tlong, active_sessions, withdrawals, announcements, proportion, conv_time
19,20,5,2,20,0,47,0,7158
373,52,18,67,24,39,173,22,674
89,14,20,5,17,0,42,0,7189
315,32,21,43,24,37,139,26,679
97,12,20,5,19,0,40,0,7199
239,24,17,40,23,39,98,39,657
85,15,20,2,20,0,41,0,6449
391,32,26,57,24,43,152,28,665
87,18,19,5,17,0,45,0,7035
241,23,14,37,24,31,108,28,670
67,15,15,3,17,0,35,0,6896
311,38,19,54,24,32,146,21,679
