edit_distance, repeated_paths, tshort, tlong, active_sessions, withdrawals, announcements, proportion, conv_time
10,5,2,0,169,0,24,0,94
168,28,3,27,173,29,104,27,1363
6,2,0,0,145,0,15,0,50
158,34,6,24,174,20,112,17,697
6,3,0,0,168,0,20,0,245
144,23,4,24,173,25,88,28,1205
7,1,0,0,136,0,15,0,92
122,35,6,18,173,24,95,25,1000
10,5,1,0,169,0,24,0,247
131,31,2,23,173,24,96,25,695
4,3,0,0,138,0,16,0,78
121,22,3,21,105,20,77,25,885
