event_num,timestamp
1,00:00:02
2,02:00:02
2,02:00:29
2,02:00:38
2,02:00:55
2,02:00:59
2,02:01:08
2,02:01:25
2,02:01:28
2,02:01:28
2,02:01:28
2,02:01:35
2,02:01:58
2,02:01:58
3,04:00:02
4,06:00:02
4,06:00:05
4,06:00:20
4,06:00:35
4,06:00:36
4,06:00:42
4,06:01:05
4,06:01:05
4,06:01:38
5,08:00:02
6,10:00:02
6,10:00:14
6,10:01:01
6,10:01:15
6,10:01:16
6,10:01:17
6,10:01:31
6,10:03:44
7,12:00:02
7,12:00:02
8,14:00:02
8,14:00:54
8,14:01:11
8,14:01:19
8,14:01:20
8,14:01:22
8,14:01:24
8,14:01:24
8,14:01:24
8,14:01:26
8,14:01:55
9,16:00:02
10,18:00:02
10,18:00:33
10,18:00:39
10,18:00:39
10,18:00:45
10,18:00:54
10,18:01:00
10,18:01:04
10,18:01:04
10,18:01:33
10,18:01:33
10,18:01:34
10,18:01:35
10,18:02:04
11,20:00:02
11,20:00:02
12,22:00:23
12,22:00:23
12,22:00:36
12,22:00:36
12,22:00:39
12,22:00:39
12,22:00:51
12,22:00:51
12,22:01:19
12,22:01:19
12,22:01:22
12,22:01:22
12,22:01:38
12,22:01:38
