timestamp, num_announcements, num_withdrawals, duplicated_announc, longest_announc, shortest_announc, avg_announc, prepended_ases, tlongs, tshorts, avg_edit, maximum_edit, num_edits, announc_peer1, announc_peer2, announc_peer3
23:55:00,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
23:55:01,0,14,0,0,0,0,0,0,0,0.0,0,0,0,0,0
23:55:02,5,0,0,8,3,4,2,0,0,0.0,0,0,0,0,1
23:55:03,2,0,1,8,8,8,6,0,0,0.0,0,0,2,0,0
23:55:04,6,0,3,6,4,5,0,0,0,0.0,0,0,1,0,5
23:55:05,13,1,6,17,3,7,68,2,0,1.5,11,2,8,0,5
23:55:06,14,0,12,11,2,6,5,0,0,0.0,0,0,1,0,13
23:55:07,3,0,1,7,6,6,3,0,0,0.0,0,0,0,0,3
23:55:08,6,13,0,7,5,5,1,0,0,1.5,2,2,3,1,2
23:55:09,2,0,0,6,4,5,0,0,0,0.0,0,0,1,1,0
23:55:10,1,0,0,4,4,4,0,0,0,0.0,0,0,1,0,0
23:55:11,17,0,14,10,2,6,8,0,0,0.0,0,0,2,0,15
23:55:12,17,13,13,6,2,4,2,0,0,0.0714285714286,1,1,2,0,13
23:55:13,6,3,2,8,4,6,2,0,0,0.0,0,0,2,3,1
23:55:14,3,3,2,5,5,5,0,0,0,0.0,0,0,0,3,0
23:55:15,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
23:55:16,1,13,0,5,5,5,0,0,0,0.0,0,0,0,1,0
23:55:17,19,0,14,5,2,3,0,1,1,0.375,3,2,4,1,13
23:55:18,4,16,1,6,4,5,0,0,0,0.0,0,0,2,0,1
23:55:19,17,0,13,6,2,4,0,0,1,0.214285714286,3,1,1,2,13
23:55:20,6,5,3,11,5,7,18,1,0,0.75,3,1,0,4,0
23:55:21,1,1,0,4,4,4,0,0,0,0.0,0,0,1,0,0
23:55:22,3,13,0,8,5,6,3,0,0,0.0,0,0,3,0,0
23:55:23,4,7,1,7,6,6,2,0,1,2.5,5,1,3,1,0
23:55:24,2,4,1,7,7,7,2,0,0,0.0,0,0,2,0,0
23:55:25,1,1,0,7,7,7,0,0,0,0.0,0,0,0,1,0
23:55:26,13,0,12,2,2,2,0,0,0,0.0,0,0,0,0,13
23:55:27,2,1,0,6,5,5,1,0,0,0.0,0,0,1,0,0
23:55:28,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
23:55:29,5,13,1,11,5,8,11,0,0,0.5,1,1,4,0,0
23:55:30,1,0,0,10,10,10,5,0,0,0.0,0,0,0,0,0
23:55:31,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
23:55:32,21,1,14,8,2,5,10,1,0,0.333333333333,5,1,1,0,13
23:55:33,3,14,1,11,8,9,11,0,0,0.0,0,0,3,0,0
23:55:34,7,0,1,10,4,7,12,0,2,2.75,6,3,4,1,1
23:55:35,13,0,12,2,2,2,0,0,0,0.0,0,0,0,0,13
23:55:36,2,13,0,17,6,11,11,0,0,0.0,0,0,2,0,0
23:55:37,18,0,15,10,2,5,16,0,0,0.0,0,0,0,0,17
23:55:38,17,1,8,14,5,6,25,1,3,2.58333333333,12,4,5,1,8
23:55:39,1,0,0,6,6,6,1,0,0,0.0,0,0,0,0,0
23:55:40,23,2,18,13,6,9,48,1,0,0.428571428571,5,3,9,5,4
23:55:41,4,14,0,8,5,7,0,0,0,1.0,1,1,1,2,1
23:55:42,4,0,0,6,5,5,3,0,0,1.0,1,1,1,1,2
23:55:43,34,5,25,10,2,5,5,2,0,0.222222222222,4,2,20,0,13
23:55:44,23,1,17,14,7,9,72,1,2,1.35,10,4,13,10,0
23:55:45,17,1,11,14,6,7,27,0,1,1.0,9,3,7,9,1
23:55:46,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
23:55:47,2,13,1,5,5,5,0,0,0,0.0,0,0,0,2,0
23:55:48,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
23:55:49,2,0,0,5,5,5,0,0,0,0.0,0,0,1,0,0
23:55:50,10,2,5,7,4,6,1,0,1,1.0,5,2,4,0,1
23:55:51,10,2,3,7,4,5,1,0,1,0.75,3,1,4,1,0
23:55:52,15,2,13,8,2,5,6,0,0,0.0,0,0,2,0,13
23:55:53,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
23:55:54,5,0,4,7,7,7,0,0,0,0.0,0,0,0,0,0
23:55:55,5,13,4,7,7,7,0,0,0,0.0,0,0,5,0,0
23:55:56,1,0,0,4,4,4,0,0,0,0.0,0,0,1,0,0
23:55:57,4,0,3,5,5,5,0,0,0,0.0,0,0,4,0,0
23:55:58,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
23:55:59,4,0,3,14,14,14,24,0,0,0.0,0,0,0,4,0
23:56:00,2,0,1,8,8,8,6,0,0,0.0,0,0,0,0,2
23:56:01,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0
23:56:02,13,0,11,7,5,6,0,0,0,0.0,0,0,0,0,13
23:56:03,6,0,2,6,4,5,0,0,0,0.0,0,0,1,0,0
23:56:04,3,0,0,11,4,6,6,0,0,1.0,1,1,1,1,1
23:56:05,17,1,13,11,2,6,12,0,0,0.0,0,0,3,0,13
23:56:06,13,0,8,11,4,8,22,1,0,0.7,6,2,8,0,0
23:56:07,9,0,7,8,5,6,0,0,0,0.0,0,0,4,5,0
23:56:08,1,4,0,7,7,7,0,0,0,0.0,0,0,1,0,0
23:56:09,2,13,1,8,8,8,6,0,0,0.0,0,0,0,0,2
23:56:10,2,2,1,9,9,9,6,0,0,0.0,0,0,0,2,0
23:56:11,16,0,13,8,2,4,6,0,0,0.0,0,0,3,0,13
23:56:12,13,17,8,9,4,6,12,1,0,0.8,6,3,12,0,1
23:56:13,30,1,21,9,2,6,20,1,1,0.416666666667,6,3,8,8,13
23:56:14,1,13,0,9,9,9,3,0,0,0.0,0,0,0,1,0
23:56:15,19,0,16,9,2,6,3,0,0,0.0,0,0,0,6,13
