event_num,timestamp
1,00:00:04
2,02:00:04
2,02:00:31
2,02:01:04
2,02:01:24
2,02:01:33
3,04:00:05
4,06:00:05
4,06:00:10
4,06:00:26
4,06:00:48
4,06:00:55
5,08:00:05
6,10:00:05
6,10:00:20
6,10:00:36
6,10:00:39
6,10:00:52
6,10:01:03
6,10:01:32
7,12:00:04
8,14:00:05
8,14:00:32
8,14:00:39
8,14:01:01
8,14:01:33
9,16:00:05
10,18:00:05
10,18:00:12
10,18:00:25
10,18:00:43
10,18:00:52
10,18:01:14
11,20:00:04
12,22:00:05
12,22:00:05
12,22:00:25
12,22:00:25
12,22:00:30
12,22:00:30
12,22:00:38
12,22:00:38
12,22:01:25
12,22:01:25
12,22:01:32
12,22:01:32
12,22:02:03
12,22:02:03
