edit_distance, repeated_paths, tshort, tlong, active_sessions, withdrawals, announcements, proportion, conv_time
15,8,2,0,16,0,31,0,186
244,22,6,43,21,32,107,29,687
70,4,15,0,16,0,22,0,299
178,17,10,29,21,27,82,32,678
63,8,14,2,16,0,27,0,261
220,24,11,37,21,27,97,27,857
85,4,15,1,16,0,24,0,88
182,24,9,35,21,28,88,31,652
82,2,18,1,16,0,24,0,158
184,30,12,30,21,28,96,29,671
63,6,13,0,16,0,24,0,110
191,19,6,34,21,29,83,34,670
