time_range, announc_as_counter, announc_as_counter_ip, num_path_dict_before, num_as_pairs, source_as_counter, prev_peer_as, prev_announc_as, path_presence
23:59:50-23:59:54,0,0,0,0,26,205206,50304,0
23:59:55-23:59:59,0,0,0,0,0,205206,50304,0
23:57:00-23:57:04,2,21,4,1,8,205206,50304,1
23:57:05-23:57:09,2,15,0,1,0,205206,50304,1
23:57:10-23:57:14,2,6,0,1,0,205206,50304,1
23:57:15-23:57:19,2,16,18,1,26,205206,50304,1
23:57:20-23:57:24,2,29,0,1,0,205206,50304,1
23:57:25-23:57:29,2,19,13,1,0,205206,50304,1
23:57:30-23:57:34,2,12,3,1,6,205206,50304,1
23:57:35-23:57:39,2,25,0,1,0,205206,50304,1
23:57:40-23:57:44,2,23,0,1,0,205206,50304,1
23:57:45-23:57:49,2,135,32,0,46,205206,50304,1
23:57:50-23:57:54,2,46,0,1,0,205206,50304,1
23:57:55-23:57:59,2,18,19,0,0,205206,50304,1
23:58:00-23:58:04,2,26,9,1,13,205206,50304,1
23:58:05-23:58:09,2,47,0,1,0,205206,50304,1
23:58:10-23:58:14,2,17,0,0,0,205206,50304,1
23:58:15-23:58:19,2,18,34,1,37,205206,50304,1
23:58:20-23:58:24,2,96,0,1,0,205206,50304,1
23:58:25-23:58:29,2,8,18,0,0,205206,50304,1
23:58:30-23:58:34,2,19,0,0,0,205206,50304,1
23:58:35-23:58:39,2,18,1,1,5,205206,50304,1
23:58:40-23:58:44,2,12,0,0,0,205206,50304,1
23:58:45-23:58:49,2,27,0,1,0,205206,50304,1
23:58:50-23:58:54,2,18,34,1,48,205206,50304,1
23:58:55-23:58:59,2,11,25,1,0,205206,50304,1
23:59:00-23:59:04,2,33,0,1,0,205206,50304,1
23:59:05-23:59:09,2,15,2,1,10,205206,50304,1
23:59:10-23:59:14,2,3,0,0,0,205206,50304,1
23:59:15-23:59:19,2,25,0,1,0,205206,50304,1
23:59:20-23:59:24,2,26,15,0,29,205206,50304,1
23:59:25-23:59:29,2,3,0,0,0,205206,50304,1
23:59:30-23:59:34,2,42,11,1,0,205206,50304,1
23:59:35-23:59:39,2,31,3,1,6,205206,50304,1
23:59:40-23:59:44,2,22,0,1,0,205206,50304,1
23:59:45-23:59:49,2,19,0,1,0,205206,50304,1
23:59:50-23:59:54,2,14,22,1,26,205206,50304,1
23:59:55-23:59:59,2,15,0,0,0,205206,50304,1
23:57:00-23:57:04,2,10,0,0,33,7018,50304,1
