edit_distance, repeated_paths, tshort, tlong, active_sessions, withdrawals, announcements, proportion, conv_time
11,3,0,0,170,0,22,0,83
108,25,5,15,174,27,83,32,676
8,3,1,0,170,0,21,0,114
107,27,4,17,174,24,83,28,830
9,2,0,0,138,0,17,0,151
199,44,13,27,173,27,135,20,816
8,3,1,0,169,0,21,0,230
110,33,4,18,173,24,93,25,1331
11,2,1,0,155,0,19,0,62
140,23,4,22,174,28,96,29,1072
6,2,1,0,142,0,16,0,81
180,23,4,27,106,24,94,25,707
