time_range, announc_as_counter, announc_as_counter_ip, num_path_dict_before, num_as_pairs, source_as_counter, timestamp
23:58:25-23:58:29,0,0,0,0,11,23
23:58:30-23:58:34,0,0,0,0,2,23
23:58:35-23:58:39,0,0,0,0,15,23
23:58:40-23:58:44,0,0,0,0,3,23
23:58:45-23:58:49,0,0,0,0,9,23
23:58:50-23:58:54,0,0,0,0,5,23
23:58:55-23:58:59,0,0,0,0,15,23
23:59:00-23:59:04,0,0,0,0,30,23
23:59:05-23:59:09,0,0,0,0,8,23
23:59:10-23:59:14,0,0,0,0,21,23
23:59:15-23:59:19,0,0,0,0,7,23
23:59:20-23:59:24,0,0,0,0,18,23
23:59:25-23:59:29,0,0,0,0,14,23
23:59:30-23:59:34,0,0,0,0,12,23
23:59:35-23:59:39,0,0,0,0,2,23
23:59:40-23:59:44,0,0,0,0,18,23
23:59:45-23:59:49,0,0,0,0,9,23
23:59:50-23:59:54,0,0,0,0,11,23
23:59:55-23:59:59,0,0,0,0,34,23
23:55:00-23:55:04,0,0,5,0,43,18
23:55:05-23:55:09,0,0,13,0,65,18
23:55:10-23:55:14,0,0,8,0,171,18
23:55:15-23:55:19,0,0,9,0,52,18
23:55:20-23:55:24,0,0,7,0,63,18
23:55:25-23:55:29,0,0,16,0,69,18
23:55:30-23:55:34,0,0,13,0,54,18
23:55:35-23:55:39,0,0,8,0,60,18
23:55:40-23:55:44,0,0,8,0,53,18
23:55:45-23:55:49,0,0,2,0,79,18
23:55:50-23:55:54,0,0,9,0,43,18
23:55:55-23:55:59,0,0,7,0,43,18
23:56:00-23:56:04,0,0,5,0,40,18
23:56:05-23:56:09,0,0,3,0,49,18
23:56:10-23:56:14,0,0,5,0,62,18
23:56:15-23:56:19,0,0,3,0,80,18
23:56:20-23:56:24,0,0,1,0,67,18
23:56:25-23:56:29,0,0,3,0,69,18
23:56:30-23:56:34,0,0,6,0,57,18
23:56:35-23:56:39,0,0,4,0,40,18
23:56:40-23:56:44,0,0,25,0,73,18
23:56:45-23:56:49,0,0,11,0,56,18
23:56:50-23:56:54,0,0,3,0,41,18
23:56:55-23:56:59,0,0,3,0,42,18
23:57:00-23:57:04,0,0,5,0,64,18
23:57:05-23:57:09,0,0,3,0,46,18
23:57:10-23:57:14,0,0,7,0,52,18
23:57:15-23:57:19,0,0,15,0,62,18
23:57:20-23:57:24,0,0,7,0,68,18
23:57:25-23:57:29,0,0,3,0,59,18
23:57:30-23:57:34,0,0,9,0,75,18
23:57:35-23:57:39,0,0,4,0,46,18
23:57:40-23:57:44,0,0,8,0,62,18
23:57:45-23:57:49,0,0,22,0,96,18
23:57:50-23:57:54,0,0,3,0,78,18
23:57:55-23:57:59,0,0,0,0,126,18
23:58:00-23:58:04,0,0,9,0,72,18
23:58:05-23:58:09,0,0,3,0,72,18
23:58:10-23:58:14,0,0,13,0,83,18
23:58:15-23:58:19,0,0,3,0,40,18
23:58:20-23:58:24,0,0,3,0,40,18
23:58:25-23:58:29,0,0,2,0,53,18
23:58:30-23:58:34,0,0,4,0,60,18
23:58:35-23:58:39,0,0,4,0,82,18
23:58:40-23:58:44,0,0,39,0,101,18
23:58:45-23:58:49,0,0,4,0,33,18
23:58:50-23:58:54,0,0,3,0,111,18
23:58:55-23:58:59,0,0,6,0,55,18
23:59:00-23:59:04,0,0,6,0,64,18
23:59:05-23:59:09,0,0,8,0,56,18
23:59:10-23:59:14,0,0,7,0,30,18
23:59:15-23:59:19,0,0,16,0,106,18
23:59:20-23:59:24,0,0,3,0,75,18
23:59:25-23:59:29,0,0,10,0,59,18
23:59:30-23:59:34,0,0,2,0,41,18
23:59:35-23:59:39,0,0,3,0,48,18
23:59:40-23:59:44,0,0,5,0,48,18
23:59:45-23:59:49,0,0,8,0,66,18
23:59:50-23:59:54,0,0,2,0,34,18
23:59:55-23:59:59,0,0,4,0,55,18
23:55:00-23:55:04,0,0,0,0,0,49
23:55:05-23:55:09,0,0,0,0,0,49
23:55:10-23:55:14,0,0,0,0,18,49
23:55:15-23:55:19,0,0,0,0,0,49
23:55:20-23:55:24,0,0,0,0,0,49
23:55:25-23:55:29,0,0,0,0,6,49
23:55:30-23:55:34,0,0,0,0,0,49
23:55:35-23:55:39,0,0,0,0,0,49
23:55:40-23:55:44,0,0,0,0,0,49
23:55:45-23:55:49,0,0,0,0,14,49
23:55:50-23:55:54,0,0,0,0,0,49
23:55:55-23:55:59,0,0,0,0,16,49
23:56:00-23:56:04,0,0,0,0,0,49
23:56:05-23:56:09,0,0,0,0,0,49
23:56:10-23:56:14,0,0,0,0,0,49
23:56:15-23:56:19,0,0,0,0,18,49
23:56:20-23:56:24,0,0,0,0,0,49
23:56:25-23:56:29,0,0,0,0,26,49
23:56:30-23:56:34,0,0,0,0,0,49
23:56:35-23:56:39,0,0,0,0,0,49
23:56:40-23:56:44,0,0,0,0,0,49
23:56:45-23:56:49,0,0,0,0,10,49
23:56:50-23:56:54,0,0,0,0,0,49
23:56:55-23:56:59,0,0,0,0,0,49
23:57:00-23:57:04,0,0,0,0,15,49
23:57:05-23:57:09,0,0,0,0,0,49
23:57:10-23:57:14,0,0,0,0,0,49
23:57:15-23:57:19,0,0,0,0,16,49
23:57:20-23:57:24,0,0,0,0,0,49
23:57:25-23:57:29,0,0,0,0,0,49
23:57:30-23:57:34,0,0,0,0,29,49
23:57:35-23:57:39,0,0,0,0,0,49
23:57:40-23:57:44,0,0,0,0,0,49
23:57:45-23:57:49,0,0,0,0,90,49
23:57:50-23:57:54,0,0,0,0,0,49
23:57:55-23:57:59,0,0,0,0,0,49
23:58:00-23:58:04,0,0,0,0,20,49
23:58:05-23:58:09,0,0,0,0,0,49
23:58:10-23:58:14,0,0,0,0,0,49
23:58:15-23:58:19,0,0,0,0,0,49
23:58:20-23:58:24,0,0,0,0,14,49
23:58:25-23:58:29,0,0,0,0,0,49
23:58:30-23:58:34,0,0,0,0,16,49
23:58:35-23:58:39,0,0,0,0,0,49
23:58:40-23:58:44,0,0,0,0,0,49
23:58:45-23:58:49,0,0,0,0,0,49
23:58:50-23:58:54,0,0,0,0,6,49
23:58:55-23:58:59,0,0,0,0,0,49
23:59:00-23:59:04,0,0,0,0,36,49
23:59:05-23:59:09,0,0,0,0,0,49
23:59:10-23:59:14,0,0,0,0,0,49
23:59:15-23:59:19,0,0,0,0,0,49
23:59:20-23:59:24,0,0,0,0,14,49
23:59:25-23:59:29,0,0,0,0,0,49
23:59:30-23:59:34,0,0,0,0,0,49
23:59:35-23:59:39,0,0,0,0,11,49
23:59:40-23:59:44,0,0,0,0,0,49
23:59:45-23:59:49,0,0,0,0,0,49
23:59:50-23:59:54,0,0,0,0,12,49
23:59:55-23:59:59,0,0,0,0,0,49
23:55:00-23:55:04,0,0,0,0,0,184
23:55:05-23:55:09,0,0,0,0,0,184
23:55:10-23:55:14,0,0,0,0,0,184
23:55:15-23:55:19,0,0,0,0,0,184
23:55:20-23:55:24,0,0,0,0,0,184
23:55:25-23:55:29,0,0,0,0,0,184
23:55:30-23:55:34,0,0,0,0,0,184
23:55:35-23:55:39,0,0,0,0,0,184
23:55:40-23:55:44,0,0,0,0,0,184
23:55:45-23:55:49,0,0,0,0,0,184
23:55:50-23:55:54,0,0,0,0,0,184
23:55:55-23:55:59,0,0,0,0,76,184
23:56:00-23:56:04,0,0,0,0,0,184
23:56:05-23:56:09,0,0,0,0,0,184
23:56:10-23:56:14,0,0,0,0,0,184
23:56:15-23:56:19,0,0,0,0,0,184
23:56:20-23:56:24,0,0,0,0,0,184
23:56:25-23:56:29,0,0,0,0,0,184
23:56:30-23:56:34,0,0,0,0,0,184
23:56:35-23:56:39,0,0,0,0,0,184
23:56:40-23:56:44,0,0,0,0,0,184
23:56:45-23:56:49,0,0,0,0,0,184
23:56:50-23:56:54,0,0,0,0,0,184
23:56:55-23:56:59,0,0,0,0,0,184
23:57:00-23:57:04,0,0,0,0,0,184
23:57:05-23:57:09,0,0,0,0,0,184
23:57:10-23:57:14,0,0,0,0,0,184
23:57:15-23:57:19,0,0,0,0,0,184
23:57:20-23:57:24,0,0,0,0,0,184
23:57:25-23:57:29,0,0,0,0,0,184
23:57:30-23:57:34,0,0,0,0,17,184
23:57:35-23:57:39,0,0,0,0,71,184
23:57:40-23:57:44,0,0,0,0,0,184
23:57:45-23:57:49,0,0,0,0,0,184
23:57:50-23:57:54,0,0,0,0,0,184
23:57:55-23:57:59,0,0,0,0,0,184
23:58:00-23:58:04,0,0,0,0,0,184
23:58:05-23:58:09,0,0,0,0,0,184
23:58:10-23:58:14,0,0,0,0,0,184
23:58:15-23:58:19,0,0,0,0,0,184
23:58:20-23:58:24,0,0,0,0,0,184
23:58:25-23:58:29,0,0,0,0,0,184
23:58:30-23:58:34,0,0,0,0,0,184
