edit_distance, repeated_paths, tshort, tlong, active_sessions, withdrawals, announcements, proportion, conv_time
11,3,1,0,169,0,22,0,133
122,29,6,24,173,23,90,25,687
6,3,0,0,134,0,17,0,188
119,34,3,20,173,24,101,23,676
6,2,0,0,141,0,16,0,250
196,23,4,31,174,23,101,22,686
10,3,1,0,167,0,22,0,95
222,24,7,31,172,26,111,23,770
6,4,0,0,147,0,18,0,55
111,32,2,20,172,24,86,27,795
8,2,1,0,169,0,19,0,129
141,22,4,20,106,22,80,27,694
