edit_distance, repeated_paths, tshort, tlong, active_sessions, withdrawals, announcements, proportion, conv_time
7,4,2,0,17,1,22,4,382
129,20,4,23,19,26,76,34,663
46,6,10,1,14,2,20,10,1195
231,19,10,29,19,25,100,25,680
55,3,13,2,19,3,19,15,6863
235,26,12,31,19,30,109,27,683
62,5,16,0,17,4,23,17,6548
142,34,9,23,19,24,88,27,750
39,5,9,0,13,5,18,27,7164
180,32,11,26,19,29,99,29,687
47,3,9,1,13,3,17,17,6310
190,24,15,27,19,28,87,32,666
