edit_distance, repeated_paths, tshort, tlong, active_sessions, withdrawals, announcements, proportion, conv_time
10,3,2,0,16,0,23,0,185
131,34,2,25,18,27,85,31,672
70,2,14,1,14,0,21,0,124
204,30,9,28,17,25,98,25,683
67,4,13,1,14,0,21,0,247
203,23,9,28,18,24,95,25,689
52,4,12,0,15,21,20,105,7004
187,21,9,28,18,25,85,29,673
60,3,13,1,15,17,22,77,6926
107,22,6,16,18,24,61,39,650
51,7,11,0,18,15,24,62,6921
227,42,15,31,18,32,130,24,726
