event_num,timestamp
1,00:00:03
1,00:00:03
2,02:00:03
2,02:00:03
2,02:00:04
2,02:00:10
2,02:01:09
2,02:01:17
2,02:01:18
2,02:01:47
2,02:01:48
3,04:00:03
4,06:00:01
4,06:00:02
4,06:00:19
4,06:01:19
4,06:01:19
6,10:00:01
6,10:00:02
6,10:00:31
6,10:01:01
8,14:00:01
8,14:00:02
8,14:00:12
8,14:00:12
8,14:00:42
8,14:00:42
8,14:01:02
8,14:01:02
8,14:01:12
8,14:01:43
8,14:01:45
8,14:01:46
8,14:01:47
10,18:00:01
10,18:00:02
10,18:00:51
10,18:00:51
12,22:00:01
12,22:00:02
12,22:00:02
12,22:00:02
12,22:00:02
12,22:00:03
12,22:00:03
12,22:00:30
12,22:00:30
12,22:00:30
12,22:00:30
12,22:01:30
12,22:01:30
12,22:01:30
12,22:01:30
